feature,importance
overall_score,0.20696568
financial_health_score,0.14708298
default_probability,0.11535777
overdraft_count_3mo,0.104066946
avg_net_cashflow,0.10059653
expense_income_ratio,0.059094403
savings_rate,0.05284083
overdraft_count_6mo,0.032994375
income_frequency_days,0.029905843
income_cv,0.029200569
income_to_spending_stability_ratio,0.024739508
income_transaction_count,0.021642314
max_balance,0.012925564
overdraft_rate,0.012481767
income_std,0.01035722
avg_monthly_income,0.004735531
weekend_spending_pct,0.0045101373
transaction_count_total,0.004490622
avg_transaction_size,0.0044829305
avg_balance,0.0041118534
spending_volatility,0.0035584331
spending_trend_6mo,0.002422254
min_monthly_income,0.0023128684
income_trend_6mo,0.0019968643
spending_std,0.001971313
min_balance,0.0017109716
rent_to_income_ratio,0.0014280905
avg_monthly_spending,0.001242895
utilities_to_income_ratio,0.0007729476
max_monthly_income,0.0
income_trend_3mo,0.0
discretionary_pct,0.0
spending_trend_3mo,0.0
days_since_last_transaction,0.0
transaction_count_per_month,0.0
months_of_history,0.0
expense_transaction_count,0.0
transportation_to_income_ratio,0.0
groceries_to_income_ratio,0.0
large_transaction_pct,0.0
essential_spending_ratio,0.0
